USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
abhinavsuri       1786   0.0  0.1 486107120   9584   ??  S    11:19PM   0:00.71 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=en-GB --service-sandbox-type=none --message-loop-type-ui --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --shared-files --metrics-shmem-handle=1752395122,r,15063277469046469932,3492184448570088784,524288 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190709002241582927
abhinavsuri       1785   0.0  0.1 486091616   7888   ??  S    11:19PM   0:00.52 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --message-loop-type-ui --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --shared-files --metrics-shmem-handle=1752395122,r,17206277826770224669,13012093721343425936,524288 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190709001304541078 --seatbelt-client=155
abhinavsuri       1780   0.0  0.0 435368224   3952   ??  S    11:19PM   0:00.50 /System/Library/PrivateFrameworks/IntelligenceFlowContextRuntime.framework/Versions/A/intelligencecontextd
abhinavsuri       1769   0.0  0.1 435350736   8080   ??  S    11:19PM   0:08.01 /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
abhinavsuri       1761   0.0  0.1 435422048   5776   ??  Ss   11:19PM   0:00.86 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
abhinavsuri       1744   0.0  0.0 439700688   2512   ??  Ss   11:19PM   0:00.34 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
root              1741   0.0  0.0 435340352   1920   ??  Ss   11:19PM   0:00.06 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
abhinavsuri       1743   0.0  0.1 435372032   5280   ??  Ss   11:19PM   0:01.37 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
abhinavsuri       1742   0.0  0.1 439759136   5152   ??  Ss   11:19PM   0:00.54 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
root              1730   0.0  0.0 435342336   2544   ??  Ss   11:19PM   0:01.12 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
root              1727   0.0  0.0 435346800   2656   ??  Ss   11:19PM   0:00.82 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
root              1728   0.0  0.0 435343424   3456   ??  S    11:19PM   0:00.15 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
root              1722   0.0  0.0 435305920   1552   ??  Ss   11:19PM   0:00.09 /System/Library/PrivateFrameworks/FindMyDevice.framework/XPCServices/FindMyDeviceSharedConfigurationXPCService.xpc/Contents/MacOS/FindMyDeviceSharedConfigurationXPCService
_accessoryupdater  1712   0.0  0.0 435305680   1296   ??  S    11:19PM   0:00.14 /usr/sbin/cfprefsd agent
_installcoordinationd  1715   0.0  0.0 435305104   1568   ??  S    11:19PM   0:00.23 /usr/sbin/distnoted agent
root              1714   0.0  0.0 435339440   2448   ??  Ss   11:19PM   1:30.64 /System/Library/PrivateFrameworks/MobileInstallation.framework/XPCServices/com.apple.MobileInstallationHelperService.xpc/Contents/MacOS/com.apple.MobileInstallationHelperService
_installcoordinationd  1710   0.0  0.0 435340512   2864   ??  Ss   11:18PM   0:09.45 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
_fpsd             1689   0.0  0.0 435316640   1488   ??  Ss   11:18PM   0:00.67 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
_accessoryupdater  1654   0.0  0.0 435344176   3856   ??  S    11:18PM   0:01.28 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
abhinavsuri       1632   0.0  0.1 439875760   6080   ??  S    11:18PM   0:11.13 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
_networkd         1655   0.0  0.1 435344736   5072   ??  S    11:18PM   0:01.18 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
_networkd         1656   0.0  0.0 435305296   1392   ??  S    11:18PM   0:00.22 /usr/sbin/distnoted agent
abhinavsuri       1526   0.0  0.0 435310208   2192   ??  S<   11:18PM   0:00.09 /Applications/Notion.app/Contents/Frameworks/Squirrel.framework/Resources/ShipIt notion.id.ShipIt /Users/abhinavsuri/Library/Caches/notion.id.ShipIt/ShipItState.plist
abhinavsuri       1473   0.0  0.0 435504608    576   ??  Ss   11:18PM   0:00.05 postgres: logical replication launcher   
abhinavsuri       1472   0.0  0.0 435504608   1328   ??  Ss   11:18PM   0:00.12 postgres: autovacuum launcher   
abhinavsuri       1471   0.0  0.0 435503584    656   ??  Ss   11:18PM   0:00.06 postgres: walwriter   
abhinavsuri       1020   0.0  0.0 435341200   2912   ??  S    11:18PM   0:00.49 /System/Library/CoreServices/diagnostics_agent
root              1065   0.0  0.0 435339600   1904   ??  Ss   11:18PM   0:00.12 /System/Library/CoreServices/SubmitDiagInfo server-init
abhinavsuri       1454   0.0  0.1 1949101680   5040   ??  S    11:18PM   0:00.33 /Applications/Arc.app/Contents/Frameworks/ArcCore.framework/Helpers/Browser Helper (Renderer).app/Contents/MacOS/Browser Helper (Renderer) --type=renderer --user-data-dir=/Users/abhinavsuri/Library/Application Support/Arc/User Data --bcny-app-id=0 --enable-blink-features=MediaSessionEnterPictureInPictureOnGMeetOnly --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=20 --time-ticks-at-unix-epoch=-1788544023279854 --launch-time-ticks=88821580 --shared-files --metrics-shmem-handle=1752395122,r,8654284433180098673,10307937978847986854,2097152 --field-trial-handle=1718379636,r,7291880958318493987,1486211104240775625,262144 --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12051863898279835959,13329788586574678747,4 --trace-process-track-uuid=3190709005052708474 --seatbelt-client=349
abhinavsuri       1170   0.0  0.0 435340656   2608   ??  S    11:18PM   0:00.28 /usr/libexec/inputanalyticsd
abhinavsuri       1453   0.0  0.1 1949143344   8432   ??  S    11:18PM   0:00.64 /Applications/Arc.app/Contents/Frameworks/ArcCore.framework/Helpers/Browser Helper (Renderer).app/Contents/MacOS/Browser Helper (Renderer) --type=renderer --user-data-dir=/Users/abhinavsuri/Library/Application Support/Arc/User Data --bcny-app-id=0 --enable-blink-features=MediaSessionEnterPictureInPictureOnGMeetOnly --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=19 --time-ticks-at-unix-epoch=-1788544023279854 --launch-time-ticks=88781258 --shared-files --metrics-shmem-handle=1752395122,r,3848782781343914627,5324552585925681130,2097152 --field-trial-handle=1718379636,r,7291880958318493987,1486211104240775625,262144 --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12051863898279835959,13329788586574678747,4 --trace-process-track-uuid=3190709004115666625 --seatbelt-client=328
abhinavsuri       1190   0.0  0.0 435514736     32   ??  Ss   11:18PM   0:00.31 /System/Library/PrivateFrameworks/IDSBlastDoorSupport.framework/Versions/A/XPCServices/IDSBlastDoorService.xpc/Contents/MacOS/IDSBlastDoorService
abhinavsuri       1182   0.0  0.1 1949142784   8352   ??  S    11:18PM   0:00.87 /Applications/Arc.app/Contents/Frameworks/ArcCore.framework/Helpers/Browser Helper (Renderer).app/Contents/MacOS/Browser Helper (Renderer) --type=renderer --user-data-dir=/Users/abhinavsuri/Library/Application Support/Arc/User Data --bcny-app-id=0 --enable-blink-features=MediaSessionEnterPictureInPictureOnGMeetOnly --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=16 --time-ticks-at-unix-epoch=-1788544023279854 --launch-time-ticks=82948055 --shared-files --metrics-shmem-handle=1752395122,r,16580710507652651783,17866206208088597446,2097152 --field-trial-handle=1718379636,r,7291880958318493987,1486211104240775625,262144 --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12051863898279835959,13329788586574678747,4 --trace-process-track-uuid=3190709001304541078 --seatbelt-client=343
root              1172   0.0  0.0 435399312   1888   ??  Ss   11:18PM   0:01.02 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
abhinavsuri       1166   0.0  0.0 435503584    768   ??  Ss   11:18PM   0:00.08 postgres: background writer   
abhinavsuri       1165   0.0  0.0 435503584    560   ??  Ss   11:18PM   0:00.02 postgres: checkpointer   
abhinavsuri       1164   0.0  0.0 435503584    304   ??  Ss   11:18PM   0:00.00 postgres: io worker 0  
abhinavsuri       1163   0.0  0.0 435503584    288   ??  Ss   11:18PM   0:00.00 postgres: io worker 1  
abhinavsuri       1162   0.0  0.0 435503584    288   ??  Ss   11:18PM   0:00.00 postgres: io worker 2  
abhinavsuri       1150   0.0  0.1 435348496   7104   ??  S    11:18PM   0:02.51 /System/Library/PrivateFrameworks/FaceTimeMessageStore.framework/facetimemessagestored
abhinavsuri       1148   0.0  0.1 435349616   8368   ??  S    11:18PM   0:02.31 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
abhinavsuri       1090   0.0  0.1 435422048   5616   ??  Ss   11:18PM   0:00.71 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
abhinavsuri       1088   0.0  0.1 435422016   5520   ??  Ss   11:18PM   0:00.71 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
abhinavsuri       1089   0.0  0.1 1949145216   5120   ??  S    11:18PM   0:01.29 /Applications/Arc.app/Contents/Frameworks/ArcCore.framework/Helpers/Browser Helper (Renderer).app/Contents/MacOS/Browser Helper (Renderer) --type=renderer --extension-process --user-data-dir=/Users/abhinavsuri/Library/Application Support/Arc/User Data --bcny-app-id=0 --enable-blink-features=MediaSessionEnterPictureInPictureOnGMeetOnly --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1788544023279854 --launch-time-ticks=70168472 --shared-files --metrics-shmem-handle=1752395122,r,12830961306357070760,6672955398013248321,2097152 --field-trial-handle=1718379636,r,7291880958318493987,1486211104240775625,262144 --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12051863898279835959,13329788586574678747,4 --trace-process-track-uuid=3190708991934122588 --seatbelt-client=224
abhinavsuri       1087   0.0  0.1 486057888   5840   ??  S    11:18PM   0:01.36 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --type=utility --utility-sub-type=media.mojom.CdmServiceBroker --lang=en --service-sandbox-type=cdm --user-data-dir=/Users/abhinavsuri/Library/Caches/com.spotify.client --log-severity=disable --user-agent-product=Chrome/146.0.7680.179 Spotify/1.2.98.301 --shared-files --metrics-shmem-handle=1752395122,r,6963504680339375935,10551247344292577442,524288 --field-trial-handle=1718379636,r,9121748217547424797,13873772898383627748,262144 --disable-features=AutofillActorMode,BackForwardCache,FullscreenBubbleShowOrigin,GatherProcessRequirementMetrics,GlicActorUi,LensOverlay,MacAppCodeSignClone,PartitionAllocDanglingPtr,PartitionAllocUnretainedDanglingPtr,StorageNotificationService --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5900328165181665128,8188878054455220361,4 --trace-process-track-uuid=3190708996619331833 --seatbelt-client=241
abhinavsuri       1084   0.0  0.2 1892215600  14448   ??  S    11:18PM   0:04.57 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/abhinavsuri/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,9696736047399823731,3824642455471259635,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708993808206286
abhinavsuri       1076   0.0  0.1 435396832   5072   ??  S    11:18PM   0:00.70 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
_gamecontrollerd  1073   0.0  0.0 435305008   1392   ??  S    11:18PM   0:00.22 /usr/sbin/distnoted agent
abhinavsuri       1067   0.0  0.1 486109488   7280   ??  S    11:18PM   0:00.50 /Applications/Comet.app/Contents/Frameworks/Comet Framework.framework/Versions/151.0.7922.247/Helpers/Comet Helper.app/Contents/MacOS/Comet Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-US --service-sandbox-type=audio --message-loop-type-ui --shared-files --metrics-shmem-handle=1752395122,r,17322373339173412162,2579679897968924794,524288 --field-trial-handle=1718379636,r,685540690387492890,15826358813249274395,262144 --disable-features=Allow-external-extensions-scripting-on-NTP --variations-seed-version --pseudonymization-salt-handle=1935764596,r,15422663741087110180,3353455984449894888,4 --trace-process-track-uuid=3190708995682289984 --seatbelt-client=93
abhinavsuri       1066   0.0  0.1 486132176  10128   ??  S    11:18PM   0:00.74 /Applications/Comet.app/Contents/Frameworks/Comet Framework.framework/Versions/151.0.7922.247/Helpers/Comet Helper.app/Contents/MacOS/Comet Helper --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=en-US --service-sandbox-type=none --message-loop-type-ui --shared-files --metrics-shmem-handle=1752395122,r,4751395775730295447,14806701892087706149,524288 --field-trial-handle=1718379636,r,685540690387492890,15826358813249274395,262144 --disable-features=Allow-external-extensions-scripting-on-NTP --variations-seed-version --pseudonymization-salt-handle=1935764596,r,15422663741087110180,3353455984449894888,4 --trace-process-track-uuid=3190708994745248135
abhinavsuri       1063   0.0  0.3 1890722336  27872   ??  S    11:18PM   1:02.86 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper (Renderer).app/Contents/MacOS/Spotify Helper (Renderer) --type=renderer --user-data-dir=/Users/abhinavsuri/Library/Caches/com.spotify.client --log-severity=disable --user-agent-product=Chrome/146.0.7680.179 Spotify/1.2.98.301 --autoplay-policy=no-user-gesture-required --enable-blink-features=DocumentPictureInPictureCefOptions --lang=en --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1788544026524921 --launch-time-ticks=64470721 --shared-files --metrics-shmem-handle=1752395122,r,222481886849896541,10452469773852310759,2097152 --field-trial-handle=1718379636,r,9121748217547424797,13873772898383627748,262144 --disable-features=AutofillActorMode,BackForwardCache,FullscreenBubbleShowOrigin,GatherProcessRequirementMetrics,GlicActorUi,LensOverlay,MacAppCodeSignClone,PartitionAllocDanglingPtr,PartitionAllocUnretainedDanglingPtr,StorageNotificationService --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5900328165181665128,8188878054455220361,4 --trace-process-track-uuid=3190708992871164437 --seatbelt-client=175
abhinavsuri       1061   0.0  0.1 435342144   5408   ??  S    11:18PM   0:01.83 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
root              1057   0.0  0.0 436017152   3680   ??  Ss   11:18PM   0:14.41 /usr/sbin/spindump
root               423   0.0  0.0 435305456   1248   ??  Ss   11:17PM   0:00.06 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
root               432   0.0  0.0 435305264   2240   ??  Ss   11:17PM   0:00.23 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
abhinavsuri       1033   0.0  0.0 435305696   1808   ??  S    11:18PM   0:00.07 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
abhinavsuri       1032   0.0  0.1 435411520   8384   ??  S    11:18PM   0:01.09 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
abhinavsuri       1019   0.0  0.0 435507584   1520   ??  S    11:18PM   0:00.13 /opt/homebrew/opt/postgresql@18/bin/postgres -D /opt/homebrew/var/postgresql@18
abhinavsuri       1011   0.0  0.0 435340688   2320   ??  S    11:18PM   0:00.26 /System/Library/Image Capture/Support/icdd
abhinavsuri       1004   0.0  0.1 435349536   7984   ??  S    11:18PM   0:01.60 /System/Library/PrivateFrameworks/HearingCore.framework/heard
abhinavsuri       1012   0.0  0.0 485663456   1808   ??  S    11:18PM   0:00.04 /Library/PrivilegedHelperTools/ChromeRemoteDesktopHost.app/Contents/MacOS/remoting_me2me_host_service --run-from-launchd
abhinavsuri       1016   0.0  0.0 435366384   3488   ??  S    11:18PM   0:00.19 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
abhinavsuri       1010   0.0  0.0 435523248   3840   ??  S    11:18PM   0:02.97 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
root              1023   0.0  0.0 435305232   1856   ??  Ss   11:18PM   0:00.07 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
abhinavsuri       1021   0.0  0.1 435581744   7952   ??  S    11:18PM   0:00.86 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
abhinavsuri       1024   0.0  0.1 1892223312  10528   ??  S    11:18PM   0:04.21 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/abhinavsuri/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,9696736047399823731,3824642455471259635,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708990997080739
abhinavsuri       1002   0.0  0.1 1949145584   5040   ??  S    11:18PM   0:00.91 /Applications/Arc.app/Contents/Frameworks/ArcCore.framework/Helpers/Browser Helper (Renderer).app/Contents/MacOS/Browser Helper (Renderer) --type=renderer --extension-process --user-data-dir=/Users/abhinavsuri/Library/Application Support/Arc/User Data --bcny-app-id=0 --enable-blink-features=MediaSessionEnterPictureInPictureOnGMeetOnly --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1788544023279854 --launch-time-ticks=60422877 --shared-files --metrics-shmem-handle=1752395122,r,13401272049069828072,8750677649831375974,2097152 --field-trial-handle=1718379636,r,7291880958318493987,1486211104240775625,262144 --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12051863898279835959,13329788586574678747,4 --trace-process-track-uuid=3190708990997080739 --seatbelt-client=193
abhinavsuri       1000   0.0  0.0 435343216   3424   ??  S    11:18PM   0:01.26 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
abhinavsuri        996   0.0  0.1 486065440   5440   ??  S    11:18PM   0:00.32 /Applications/Arc.app/Contents/Frameworks/ArcCore.framework/Helpers/Browser Helper.app/Contents/MacOS/Browser Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --user-data-dir=/Users/abhinavsuri/Library/Application Support/Arc/User Data --bcny-app-id=0 --shared-files --metrics-shmem-handle=1752395122,r,2586822091771908944,15347802697048676341,524288 --field-trial-handle=1718379636,r,7291880958318493987,1486211104240775625,262144 --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12051863898279835959,13329788586574678747,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=32
abhinavsuri        995   0.0  0.3 486117248  21184   ??  S    11:18PM   0:03.69 /Applications/Arc.app/Contents/Frameworks/ArcCore.framework/Helpers/Browser Helper.app/Contents/MacOS/Browser Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --user-data-dir=/Users/abhinavsuri/Library/Application Support/Arc/User Data --bcny-app-id=0 --shared-files --metrics-shmem-handle=1752395122,r,10704339285480871366,2196974762223130038,524288 --field-trial-handle=1718379636,r,7291880958318493987,1486211104240775625,262144 --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12051863898279835959,13329788586574678747,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=22
abhinavsuri        994   0.0  0.1 486126480   9216   ??  S    11:18PM   0:01.13 /Applications/Arc.app/Contents/Frameworks/ArcCore.framework/Helpers/Browser Helper.app/Contents/MacOS/Browser Helper --type=gpu-process --user-data-dir=/Users/abhinavsuri/Library/Application Support/Arc/User Data --bcny-app-id=0 --gpu-preferences=WAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAADAAAAAEAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files --metrics-shmem-handle=1752395122,r,16214568317286885045,1145785616845974105,262144 --field-trial-handle=1718379636,r,7291880958318493987,1486211104240775625,262144 --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12051863898279835959,13329788586574678747,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=22
abhinavsuri        991   0.0  0.0 435344912   3232   ??  S    11:18PM   0:01.07 cloudphotod
abhinavsuri        988   0.0  0.0 435353952   2432   ??  Ss   11:18PM   0:00.02 /System/Applications/Tips.app/Contents/PlugIns/TipsWidgetExtension.appex/Contents/MacOS/TipsWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS50aXBzLldpZGdldCIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
abhinavsuri        987   0.0  0.0 435353984   2320   ??  Ss   11:18PM   0:00.04 /System/Applications/Shortcuts.app/Contents/PlugIns/ShortcutsWidgetExtension.appex/Contents/MacOS/ShortcutsWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5zaG9ydGN1dHMuU2hvcnRjdXRzV2lkZ2V0IiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
_captiveagent      971   0.0  0.0 435341984   3520   ??  Ss   11:18PM   0:00.77 /usr/libexec/captiveagent
abhinavsuri        969   0.0  0.1 469251888   7216   ??  S    11:18PM   0:01.39 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --user-data-dir=/Users/abhinavsuri/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,9696736047399823731,3824642455471259635,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708989122997041 --seatbelt-client=33
abhinavsuri        968   0.0  0.1 469336880  10400   ??  S    11:18PM   0:02.54 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (GPU).app/Contents/MacOS/Code Helper (GPU) --type=gpu-process --user-data-dir=/Users/abhinavsuri/Library/Application Support/Code --gpu-preferences=SAAAAAAAAAAgAAAEAAAAAAAAAAAAAGAAAwAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=1718379636,r,9696736047399823731,3824642455471259635,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708988185955192 --seatbelt-client=33
abhinavsuri        967   0.0  0.0 435354496   2528   ??  Ss   11:18PM   0:00.04 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.WidgetExtension.appex/Contents/MacOS/com.apple.Notes.WidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ob3Rlcy5XaWRnZXRFeHRlbnNpb24iLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
